😂,0x1f602,0.805,0.247,0.285,0.468,0.221,FACE WITH TEARS OF JOY,Emoticons
❤,0x2764,0.747,0.044,0.166,0.79,0.746,HEAVY BLACK HEART,Dingbats
♥,0x2665,0.754,0.035,0.272,0.693,0.657,BLACK HEART SUIT,Miscellaneous Symbols
😍,0x1f60d,0.765,0.052,0.219,0.729,0.678,SMILING FACE WITH HEART-SHAPED EYES,Emoticons
😭,0x1f62d,0.803,0.436,0.22,0.343,-0.093,LOUDLY CRYING FACE,Emoticons
😘,0x1f618,0.854,0.053,0.193,0.754,0.701,FACE THROWING A KISS,Emoticons
😊,0x1f60a,0.813,0.06,0.237,0.704,0.644,SMILING FACE WITH SMILING EYES,Emoticons
👌,0x1f44c,0.805,0.094,0.249,0.657,0.563,OK HAND SIGN,Miscellaneous Symbols and Pictographs
💕,0x1f495,0.766,0.042,0.285,0.674,0.632,TWO HEARTS,Miscellaneous Symbols and Pictographs
👏,0x1f44f,0.787,0.104,0.271,0.624,0.52,CLAPPING HANDS SIGN,Miscellaneous Symbols and Pictographs
😁,0x1f601,0.796,0.127,0.296,0.577,0.449,GRINNING FACE WITH SMILING EYES,Emoticons
☺,0x263a,0.799,0.062,0.218,0.72,0.657,WHITE SMILING FACE,Miscellaneous Symbols
♡,0x2661,0.764,0.052,0.227,0.721,0.669,WHITE HEART SUIT,Miscellaneous Symbols
👍,0x1f44d,0.812,0.115,0.248,0.637,0.521,THUMBS UP SIGN,Miscellaneous Symbols and Pictographs
😩,0x1f629,0.826,0.591,0.186,0.223,-0.368,WEARY FACE,Emoticons
🙏,0x1f64f,0.794,0.081,0.421,0.498,0.417,PERSON WITH FOLDED HANDS,Emoticons
✌,0x270c,0.79,0.113,0.31,0.576,0.463,VICTORY HAND,Dingbats
😏,0x1f60f,0.765,0.112,0.444,0.444,0.332,SMIRKING FACE,Emoticons
😉,0x1f609,0.845,0.1,0.337,0.563,0.463,WINKING FACE,Emoticons
🙌,0x1f64c,0.791,0.101,0.238,0.661,0.559,PERSON RAISING BOTH HANDS IN CELEBRATION,Emoticons
🙈,0x1f648,0.739,0.164,0.241,0.596,0.432,SEE-NO-EVIL MONKEY,Emoticons
💪,0x1f4aa,0.807,0.072,0.301,0.627,0.555,FLEXED BICEPS,Miscellaneous Symbols and Pictographs
😄,0x1f604,0.795,0.137,0.305,0.558,0.421,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,Emoticons
😒,0x1f612,0.858,0.591,0.192,0.217,-0.374,UNAMUSED FACE,Emoticons
💃,0x1f483,0.853,0.045,0.177,0.779,0.734,DANCER,Miscellaneous Symbols and Pictographs
💖,0x1f496,0.762,0.043,0.201,0.755,0.712,SPARKLING HEART,Miscellaneous Symbols and Pictographs
😃,0x1f603,0.735,0.072,0.299,0.629,0.557,SMILING FACE WITH OPEN MOUTH,Emoticons
😔,0x1f614,0.866,0.464,0.219,0.318,-0.146,PENSIVE FACE,Emoticons
😱,0x1f631,0.773,0.264,0.282,0.454,0.19,FACE SCREAMING IN FEAR,Emoticons
🎉,0x1f389,0.744,0.039,0.184,0.777,0.738,PARTY POPPER,Miscellaneous Symbols and Pictographs
😜,0x1f61c,0.822,0.112,0.322,0.566,0.455,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,Emoticons
☯,0x262f,0.384,0.006,0.987,0.007,0.001,YIN YANG,Miscellaneous Symbols
🌸,0x1f338,0.57,0.04,0.27,0.69,0.65,CHERRY BLOSSOM,Miscellaneous Symbols and Pictographs
💜,0x1f49c,0.731,0.045,0.257,0.699,0.654,PURPLE HEART,Miscellaneous Symbols and Pictographs
💙,0x1f499,0.703,0.033,0.204,0.763,0.73,BLUE HEART,Miscellaneous Symbols and Pictographs
✨,0x2728,0.56,0.052,0.545,0.403,0.351,SPARKLES,Dingbats
😳,0x1f633,0.797,0.327,0.327,0.345,0.018,FLUSHED FACE,Emoticons
💗,0x1f497,0.8,0.051,0.241,0.708,0.657,GROWING HEART,Miscellaneous Symbols and Pictographs
